ScriptName,ScriptType,TrueScenes,PredictedScenes,Accuracy
Conflict-Test-Script.txt,Unknown,3,4,0.87
Event-Schedule-Test.txt,Unknown,7,5,0.7
Script-1.txt,Unknown,6,6,1.0
Script-10.pdf,Unknown,2,3,0.8
Script-11.pdf,Unknown,5,5,1.0
Script-12.pdf,Unknown,22,22,1.0
Script-13.pdf,Unknown,5,5,1.0
Script-14.pdf,Unknown,2,2,1.0
Script-15.pdf,Unknown,2,3,0.8
Script-16.pdf,Unknown,10,10,1.0
Script-17.pdf,Unknown,2,3,0.8
Script-18.pdf,Unknown,2,3,0.8
Script-19.pdf,Unknown,2,2,1.0
Script-2.txt,Unknown,3,3,1.0
Script-20.txt,Unknown,14,15,0.97
Script-21.txt,Unknown,2,2,1.0
Script-3.txt,Unknown,5,4,0.79
Script-4.txt,Unknown,8,8,1.0
Script-5.txt,Unknown,12,13,0.97
Script-6.txt,Unknown,15,15,1.0
Script-65-Rules-Test.txt,Unknown,23,24,0.98
Script-7.txt,Unknown,15,16,0.97
Script-8.txt,Unknown,16,17,0.98
Script-9.txt,Unknown,15,16,0.97
12_Angry_Men.pdf,Unknown,9,10,0.96
